GEOID,hist_start_date,hist_end_date,hist_days,total_crimes,active_days,avg_daily_crimes,avg_hourly_crimes,population,crime_per_1k_pop,avg_911_hourly,avg_911_daily,avg_311_daily,top5_categories,top5_harm_categories,vs_sf_avg_daily,vs_sf_avg_911,vs_sf_avg_311,distance_to_bus,bus_stop_count,distance_to_train,train_stop_count,poi_total_count,poi_risk_score,poi_dominant_type,distance_to_police,distance_to_government_building,is_near_police,is_near_government,neighbor_crime_1d,neighbor_crime_3d,neighbor_crime_7d
06075017602,2021-01-02,2025-12-30,1824,17740,1577,11.249207355738745,2.430469927387313,3199.0,1283.5138120802258,1.8620631341600902,16.485682074408118,0.0,"Larceny Theft:4080,Drug Offense:1929,Assault:1870,Other Miscellaneous:1510,Warrant:1259",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,163.06942749023438,15.0,428.001220703125,52.0,0.0,0.0,No_POI,292.79998779296875,741.5,1.0,0.0,29.0,83.0,197.0
06075010101,2021-01-02,2025-12-30,1824,13491,1453,9.2849277357192,2.343408025013028,2121.0,1597.8305627239547,1.2221480987324884,7.2748498999332885,0.0,"Larceny Theft:9168,Malicious Mischief:1126,Other Miscellaneous:438,Non-Criminal:350,Assault:331",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,134.04981994628906,25.0,2740.69287109375,36.0,0.0,0.0,No_POI,910.0999755859375,1273.9000244140625,0.0,0.0,11.0,32.0,77.0
06075011700,2021-01-02,2025-12-30,1824,13758,1546,8.899094437257439,2.2846230488209898,2056.0,1579.8489638127264,1.4132868149440325,9.584896060473906,0.0,"Larceny Theft:5096,Other Miscellaneous:1273,Malicious Mischief:1134,Burglary:859,Assault:802",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,124.39447021484375,48.0,311.0052185058594,40.0,0.0,0.0,No_POI,503.0,396.8999938964844,0.0,0.0,36.0,106.0,253.0
06075017700,2021-01-02,2025-12-30,1824,11032,1507,7.320504313205043,2.154266744776411,2080.0,1284.607728038385,1.454133430021755,11.338288614938362,0.0,"Larceny Theft:2379,Motor Vehicle Theft:1085,Other Miscellaneous:1073,Assault:898,Malicious Mischief:852",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,171.1660614013672,28.0,1164.831298828125,52.0,0.0,0.0,No_POI,737.5999755859375,342.8999938964844,0.0,0.0,38.0,113.0,258.0
06075018000,2021-01-02,2025-12-30,1824,9881,1489,6.635997313633311,2.1199313452048916,3774.0,641.7962425744988,1.2541240765104746,7.724825422528085,0.0,"Larceny Theft:1702,Other Miscellaneous:797,Motor Vehicle Theft:656,Recovered Vehicle:596,Warrant:595",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,79.61849975585938,13.0,1257.6732177734375,48.0,0.0,0.0,No_POI,113.5999984741211,85.69999694824219,1.0,1.0,22.0,65.0,149.0
06075017603,2021-01-02,2025-12-30,1824,9418,1440,6.540277777777778,2.3486284289276806,4815.0,495.784296757817,1.2545126353790614,6.060203864939478,0.0,"Larceny Theft:1451,Drug Offense:1354,Assault:892,Other Miscellaneous:875,Malicious Mischief:552",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,100.58162689208984,11.0,512.1712646484375,52.0,0.0,0.0,No_POI,733.2000122070312,389.79998779296875,0.0,0.0,30.0,88.0,205.0
06075012405,2021-01-02,2025-12-30,1824,8165,1354,6.030280649926144,2.3701015965166907,3921.0,561.3497672081211,1.4586650336803428,9.612124923453766,0.0,"Larceny Theft:1422,Drug Offense:1065,Warrant:921,Other Miscellaneous:709,Assault:642",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,143.64694213867188,15.0,436.67510986328125,52.0,0.0,0.0,No_POI,520.2000122070312,257.1000061035156,0.0,1.0,39.0,109.0,252.0
06075012403,2021-01-02,2025-12-30,1824,7187,1230,5.843089430894309,2.671747211895911,2431.0,877.3046656834317,1.0343676081814388,5.2785585084179765,0.0,"Drug Offense:2104,Assault:633,Other Miscellaneous:597,Warrant:552,Non-Criminal:442",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,88.79249572753906,6.0,399.1122741699219,51.0,0.0,0.0,No_POI,323.70001220703125,220.5,0.0,1.0,17.0,48.0,116.0
06075012502,2021-01-02,2025-12-30,1824,7958,1418,5.61212976022567,2.0832460732984295,4629.0,442.52049308325115,1.2462930384518722,8.895828097511938,0.0,"Assault:815,Other Miscellaneous:657,Missing Person:645,Warrant:634,Non-Criminal:602",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,99.50129699707031,4.0,426.34326171875,46.0,0.0,0.0,No_POI,15.199999809265137,539.2000122070312,1.0,0.0,11.0,31.0,74.0
06075980900,2021-01-02,2025-12-30,1824,7784,1399,5.56397426733381,2.121559007904061,315.0,6447.144785958225,1.6136947584789312,13.89054470709147,0.0,"Larceny Theft:1675,Recovered Vehicle:929,Motor Vehicle Theft:757,Other Miscellaneous:650,Assault:534",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,225.8180389404297,48.0,3332.61279296875,6.0,0.0,0.0,No_POI,1888.4000244140625,1367.300048828125,0.0,0.0,14.0,42.0,99.0
06075061501,2021-01-02,2025-12-30,1824,7579,1381,5.488052136133237,2.1337274774774775,1656.0,1209.6250179279175,1.2926507454809342,6.952764216915161,0.0,"Larceny Theft:2441,Assault:726,Other Miscellaneous:686,Malicious Mischief:523,Burglary:420",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,39.347450256347656,31.0,366.6317443847656,46.0,0.0,0.0,No_POI,585.9000244140625,457.3999938964844,0.0,0.0,23.0,72.0,165.0
06075012202,2021-01-02,2025-12-30,1824,7301,1335,5.468913857677903,2.199096385542169,2978.0,670.3000530733493,1.2502396931927133,8.351184769209697,0.0,"Larceny Theft:925,Assault:808,Other Miscellaneous:752,Drug Offense:635,Warrant:508",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,28.239336013793945,6.0,1052.08642578125,46.0,0.0,0.0,No_POI,586.9000244140625,374.3999938964844,0.0,0.0,10.0,30.0,73.0
06075012503,2021-01-02,2025-12-30,1824,6930,1338,5.179372197309417,2.18957345971564,4368.0,432.8001034839599,1.2125541125541126,6.002453102453102,0.0,"Larceny Theft:1415,Assault:884,Other Miscellaneous:682,Drug Offense:475,Warrant:454",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,121.2806625366211,8.0,327.0398254394531,46.0,0.0,0.0,No_POI,232.5,764.5,1.0,0.0,37.0,110.0,256.5
06075020102,2021-01-02,2025-12-30,1824,6767,1310,5.165648854961832,2.2519134775374376,3310.0,569.6259311362745,1.3608689227131667,7.457809960100487,0.0,"Larceny Theft:883,Drug Offense:854,Assault:814,Other Miscellaneous:744,Warrant:480",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,101.3559341430664,6.0,108.18881225585938,40.0,0.0,0.0,No_POI,328.6000061035156,501.79998779296875,0.0,0.0,19.0,54.0,122.0
06075980300,2021-01-02,2025-12-30,1824,6431,1249,5.148919135308247,2.0520102105934908,38.0,,1.654952573472244,12.665526356709687,0.0,"Larceny Theft:3792,Malicious Mischief:406,Non-Criminal:380,Motor Vehicle Theft:247,Other Miscellaneous:231",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,482.9046936035156,44.0,7136.81982421875,0.0,0.0,0.0,No_POI,1454.300048828125,2555.699951171875,0.0,0.0,26.0,77.0,170.0
06075010500,2021-01-02,2025-12-30,1824,6222,1287,4.834498834498834,2.0313418217433887,3108.0,567.7580677580678,1.3029572484731597,8.123111539697847,0.0,"Larceny Theft:3003,Malicious Mischief:543,Other Miscellaneous:430,Assault:317,Motor Vehicle Theft:254",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,156.62635803222656,23.0,1283.1910400390625,40.0,0.0,0.0,No_POI,1068.199951171875,265.5,0.0,1.0,25.0,73.0,170.0
06075023200,2021-01-02,2025-12-30,1824,6016,1278,4.707355242566511,2.157819225251076,4222.0,406.9598918845988,1.9261968085106382,18.724567819148938,0.0,"Recovered Vehicle:737,Motor Vehicle Theft:643,Larceny Theft:631,Assault:617,Other Miscellaneous:521",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,143.59254455566406,27.0,4557.25390625,0.0,0.0,0.0,No_POI,880.7000122070312,1453.300048828125,0.0,0.0,10.0,31.0,71.0
06075060701,2021-01-02,2025-12-30,1824,6174,1323,4.666666666666667,2.136332179930796,7879.0,216.18648728688078,1.0523161645610626,4.059928733398121,0.0,"Larceny Theft:963,Other Miscellaneous:605,Assault:466,Fraud:417,Non-Criminal:396",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,132.3114471435547,16.0,1788.0946044921875,46.0,0.0,0.0,No_POI,143.3000030517578,482.0,1.0,0.0,12.0,35.0,85.0
06075015900,2021-01-02,2025-12-30,1824,6228,1335,4.665168539325843,1.9790276453765492,5245.0,324.6494789044676,0.9466923570969814,2.991490044958253,0.0,"Larceny Theft:2705,Assault:476,Malicious Mischief:442,Motor Vehicle Theft:341,Other Miscellaneous:325",NA,VERY_ABOVE_AVG,VERY_ABOVE_AVG,NA,35.31484603881836,14.0,1746.427001953125,46.0,0.0,0.0,No_POI,403.20001220703125,894.5999755859375,0.0,0.0,9.0,26.0,60.0
